,name,idx,lat,lon,url
0,Dongcheng Dongsi,446,39.929,116.417,http://aqicn.org/city/beijing/dongchengdongsi/
1,"Temple of Heaven, Dongcheng",447,39.886,116.407,http://aqicn.org/city/beijing/dongchengtiantan/
2,West Park officials,448,39.929,116.339,http://aqicn.org/city/beijing/xichengguanyuan/
3,Wanshou Temple,449,39.878,116.352,http://aqicn.org/city/beijing/xichengwanshouxigong/
4,Chaoyang Olympic Sports Center,450,39.982,116.397,http://aqicn.org/city/beijing/chaoyangaotizhongxin/
5,Chaoyang Agricultural Exhibition Hall,451,39.937,116.461,http://aqicn.org/city/beijing/chaoyangnongzhanguan/
6,Haidian Wanliu,452,39.987,116.287,http://aqicn.org/city/beijing/haidianwanliu/
10,Fengtai Yungang,456,39.824,116.146,http://aqicn.org/city/beijing/fengtaiyungang/
11,Shijingshan city,457,39.914,116.184,http://aqicn.org/city/beijing/shijingshangucheng/
12,"Fangshan, Liangxiang",458,39.742,116.136,http://aqicn.org/city/beijing/fangshanliangxiang/
13,"Huangcunzhen, Daxing",459,39.718,116.404,http://aqicn.org/city/beijing/daxinghuangcunzhen/
14,BDA,460,39.795,116.506,http://aqicn.org/city/beijing/yizhuangkaifaqu/
16,Shunyi New Town ,462,40.127,116.655,http://aqicn.org/city/beijing/shunyixincheng/
17,Changping Town,463,40.217,116.23,http://aqicn.org/city/beijing/changpingzhen/
18,"Mentougou, Longquan Town",464,39.937,116.106,http://aqicn.org/city/beijing/mentougoulongquanzhen/
19,Pinggu town,465,40.143,117.1,http://aqicn.org/city/beijing/pingguzhen/
20,Huairou town,466,40.328,116.628,http://aqicn.org/city/beijing/huairouzhen/
21,The town of Miyun,467,40.37,116.832,http://aqicn.org/city/beijing/miyunzhen/
22,Yanqing town,468,40.453,115.972,http://aqicn.org/city/beijing/yanqingzhen/
23,Changping Dingling,469,40.292,116.22,http://aqicn.org/city/beijing/changpingdingling/
27,"Yongledianzhen, Tongzhou",473,39.712,116.783,http://aqicn.org/city/beijing/jingdongnanyongledian/
35,Beijing US Embassy,3303,39.954592,116.468117,http://aqicn.org/city/beijing/us-embassy/
36,丰台小屯,13327,39.87694,116.25528,http://aqicn.org/city/beijing/fengtaixiaotun/
37,密云新城,13329,40.4088,116.85152,http://aqicn.org/city/beijing/miyunxincheng/
38,平谷新城,13330,40.15353,117.0854,http://aqicn.org/city/beijing/pingguxincheng/
39,昌平南邵,13334,40.21651,116.27603,http://aqicn.org/city/beijing/changpingnanshao/
40,海淀四季青,13335,40.03000,116.23052,http://aqicn.org/city/beijing/haidiansijiqing/
41,石景山老山,13336,39.90886,116.20764,http://aqicn.org/city/beijing/shijingshanlaoshan/
44,Putuo Monitoring Station,481,31.234814,121.410728,http://aqicn.org/city/shanghai/putuojiancezhan/
45,yángpǔ sì piào,482,31.2659,121.536,http://aqicn.org/city/shanghai/yangpusipiao/
46,lúwān shī zhuān fùxiǎo,483,31.201014,121.483231,http://aqicn.org/city/shanghai/luwanshizhuanfuxiao/
47,Qingpu Dianshan Lake,484,31.0935,120.978,http://aqicn.org/city/shanghai/qingpudianshanhu/
48,Hongkou Liangcheng,485,31.3008,121.467,http://aqicn.org/city/shanghai/hongkouliangcheng/
49,Jing'an Monitoring Station,486,31.2261,121.425,http://aqicn.org/city/shanghai/jinganjiancezhan/
50,xúhuì shàng shī dà,487,31.1654,121.412,http://aqicn.org/city/shanghai/xuhuishangshida/
51,pǔdōng chuān shā,488,31.1907,121.703,http://aqicn.org/city/shanghai/pudongchuansha/
52,pǔdōng zhāngjiāng,489,31.2071,121.577,http://aqicn.org/city/shanghai/pudongzhangjiang/
53,Pudong Monitoring Station,490,31.2284,121.533,http://aqicn.org/city/shanghai/pudongjiancezhan/
54,City average,491,31.230393,121.473704,http://aqicn.org/city/shanghai/quanshipingjun/
55,Pudong Zhoupu,10185,31.114301,121.574951,http://aqicn.org/city/shanghai/pudongzhoupu/
56,Pudong Huinan,10186,31.04808,121.749495,http://aqicn.org/city/shanghai/pudonghuinan/
57,People's Square,10187,31.22967,121.47616,http://aqicn.org/city/shanghai/renminguangchang/
58,Huangpu Ruijin,10188,31.213834,121.462917,http://aqicn.org/city/shanghai/huangpuruijin/
59,Jing'an Qiyi Middle School,10189,31.231002,121.452066,http://aqicn.org/city/shanghai/jinganqiyizhongxue/
60,Jing'an Hetian Middle School,10190,31.274911,121.454927,http://aqicn.org/city/shanghai/jinganhetianzhongxue/
61,Jing'an North High-tech,10191,31.295743,121.436946,http://aqicn.org/city/shanghai/jinganshibeigaoxin/
62,Xujiahui,10192,31.194503,121.437516,http://aqicn.org/city/shanghai/xujiahui/
63,Changning Xianxia,10193,31.2060391,121.3892098,http://aqicn.org/city/shanghai/changningxianxia/
64,Changning Chengqiao,10194,31.1891105,121.3726724,http://aqicn.org/city/shanghai/changningchengqiao/
65,Changning Huayang,10195,31.216258,121.423952,http://aqicn.org/city/shanghai/changninghuayang/
66,Putuo Taopu,10196,31.278981,121.363483,http://aqicn.org/city/shanghai/putuotaopu/
67,Hongkou Jiaxing,10197,31.257187,121.49131,http://aqicn.org/city/shanghai/hongkoujiaxing/
68,Yangpu Monitoring Station,10198,31.281478,121.54201,http://aqicn.org/city/shanghai/yangpujiancezhan/
69,Yangpu New Jiangwan City,10199,31.329075,121.522236,http://aqicn.org/city/shanghai/yangpuxinjiangwancheng/
70,Baoshan Yangxing,10200,31.364479,121.438297,http://aqicn.org/city/shanghai/baoshanyangxing/
71,Baoshan Luodian,10201,31.415251,121.346638,http://aqicn.org/city/shanghai/baoshanluodian/
72,Baoshan Temple Line,10202,31.319788,121.449684,http://aqicn.org/city/shanghai/baoshanmiaoxing/
73,Minhang Jiangchuan,10203,31.0066775,121.4074826,http://aqicn.org/city/shanghai/minxingjiangchuan/
74,Minhang Pujiang,10204,31.075571,121.515504,http://aqicn.org/city/shanghai/minxingpujiang/
75,Jiading Monitoring Station,10205,31.375042,121.268689,http://aqicn.org/city/shanghai/jiadingjiancezhan/
76,Jiading Tianhua College,10206,31.408689,121.201974,http://aqicn.org/city/shanghai/jiadingtianhuaxueyuan/
77,Jiading Fangtai,10207,31.31617,121.217115,http://aqicn.org/city/shanghai/jiadingfangtai/
78,Jiading Nanxiang,10208,31.294176,121.320622,http://aqicn.org/city/shanghai/jiadingnanxiang/
79,jīnshān zhū jīng,10209,30.898687,121.166678,http://aqicn.org/city/shanghai/jinshanzhujing/
80,Jinshan New Town,10210,30.705811,121.346377,http://aqicn.org/city/shanghai/jinshanxincheng/
81,jīnshān lángxià,10211,30.790032,121.193091,http://aqicn.org/city/shanghai/jinshanlangxia/
82,Jinshan Fengjing,10212,30.888329,121.010356,http://aqicn.org/city/shanghai/jinshanfengjing/
