,date,tz,city,idx,lat,lon,aqi,pm25,pm10,so2,no2,o3,co,h,t,r,w
0,2022-03-16 15:00:00,+08:00,"Dongcheng Dongsi, Beijing (东城东四)",446,39.929,116.417,137,137,84,2.1,6.4,33.3,4.6,43,13,,4.6
1,2022-03-16 15:00:00,+08:00,"Temple of Heaven, Dongcheng, Beijing (东城天坛)",447,39.886,116.407,127,127,72,2.1,6.9,33.3,5.5,43,13,,4.6
2,2022-03-16 15:00:00,+08:00,"West Park officials, Beijing (西城官园)",448,39.929,116.339,129,129,77,3.1,6.9,32.1,5.5,43,13,,4.6
3,2022-03-16 15:00:00,+08:00,"Wanshou Temple, Beijing (西城万寿西宫)",449,39.878,116.352,127,127,72,2.1,7.8,32.1,5.5,43,13,,4.6
4,2022-03-16 15:00:00,+08:00,"Chaoyang Olympic Sports Center, Beijing (朝阳奥体中心)",450,39.982,116.397,132,132,78,2.1,7.8,35.4,5.5,43,13,,4.6
5,2022-03-16 15:00:00,+08:00,"Chaoyang Agricultural Exhibition Hall, Beijing (朝阳农展馆)",451,39.937,116.461,144,144,84,2.1,7.8,33.3,5.5,43,13,,4.6
6,2022-03-16 15:00:00,+08:00,"Haidian Wanliu, Beijing (海淀万柳)",452,39.987,116.287,129,129,76,2.1,8.7,33.3,5.5,43,13,,4.6
7,2021-01-18 23:00:00,+08:00,"The Haidian northern New Area, Beijing (海淀北部新区)",453,40.09,116.174,-,89,73,0.6,11,13.9,3.7,78.5,-8.5,,1.5
8,,+08:00,"Haidian Beijing Botanical Garden, Beijing (海淀北京植物园)",454,40.002,116.207,-,,,,,,,78.5,-8.5,,1.5
9,2021-01-18 23:00:00,+08:00,"Fengtai garden, Beijing (丰台花园)",455,39.863,116.279,-,74,,1.1,11.5,15.5,3.7,78.5,-8.5,,1.5
10,2022-03-16 15:00:00,+08:00,"Fengtai Yungang, Beijing (丰台云岗)",456,39.824,116.146,97,97,61,1.6,5.1,37,3.7,43,13,,4.6
11,2022-03-16 15:00:00,+08:00,"Shijingshan city, Beijing (石景山古城)",457,39.914,116.184,129,129,85,1.6,7.4,31.7,5.5,43,13,,4.6
12,2022-03-16 15:00:00,+08:00,"Fangshan, Liangxiang, Beijing (房山良乡)",458,39.742,116.136,93,93,53,3.1,4.6,32.9,4.6,43,13,,4.6
13,2022-03-16 15:00:00,+08:00,"Huangcunzhen, Daxing, Beijing (大兴黄村镇)",459,39.718,116.404,104,104,58,1.6,6.4,30.5,7.3,43,13,,4.6
14,2022-03-16 15:00:00,+08:00,"BDA, Beijing (亦庄开发区)",460,39.795,116.506,129,129,64,1.6,7.4,30.1,8.2,43,13,,4.6
15,2021-01-18 23:00:00,+08:00,"Tongzhou New Town, Beijing (通州新城)",461,39.886,116.663,-,82,54,0.6,13.8,4.9,5.5,78.5,-8.5,,1.5
16,2022-03-16 15:00:00,+08:00,"Shunyi New Town , Beijing (顺义新城)",462,40.127,116.655,129,129,84,3.6,7.4,32.9,8.2,43,13,,4.6
17,2022-03-16 15:00:00,+08:00,"Changping Town, Beijing (昌平镇)",463,40.217,116.23,134,134,82,2.1,7.8,35.8,5.5,43,13,,4.6
18,2022-03-16 15:00:00,+08:00,"Mentougou, Longquan Town, Beijing (门头沟龙泉镇)",464,39.937,116.106,107,107,60,1.6,6.9,33.3,4.6,43,13,,4.6
19,2022-03-16 15:00:00,+08:00,"Pinggu town, Beijing (平谷镇)",465,40.143,117.1,142,142,70,3.1,10.1,26,7.3,43,13,,4.6
20,2022-03-16 15:00:00,+08:00,"Huairou town, Beijing (怀柔镇)",466,40.328,116.628,122,122,83,1.6,6.4,33.8,6.4,43,13,,4.6
21,2022-03-16 15:00:00,+08:00,"The town of Miyun, Beijing (密云镇)",467,40.37,116.832,119,119,78,1.6,6.4,31.3,6.4,43,13,,4.6
22,2022-03-16 15:00:00,+08:00,"Yanqing town, Beijing (延庆镇)",468,40.453,115.972,57,57,35,0.6,2.3,39,1.9,43,13,,4.6
23,2022-03-16 15:00:00,+08:00,"Changping Dingling, Beijing (昌平定陵)",469,40.292,116.22,127,127,89,2.1,10.1,35.4,5.5,43,13,,4.6
24,2021-01-18 23:00:00,+08:00,"Badaling Northwest, Beijing (京西北八达岭)",470,40.365,115.988,-,107,112,1.6,12.4,12.2,4.6,78.5,-8.5,,1.5
25,2021-01-18 23:00:00,+08:00,"Miyun Reservoir, Beijing (京东北密云水库)",471,40.499,116.911,-,76,90,1.6,5.5,17.5,4.6,78.5,-8.5,,1.5
26,2021-01-18 23:00:00,+08:00,"Donggaocun Zhen, Pinggu, Beijing (京东东高村)",472,40.1,117.12,-,68,51,1.6,6,22.8,3.7,78.5,-8.5,,1.5
27,2022-03-16 15:00:00,+08:00,"Yongledianzhen, Tongzhou, Beijing (京东南永乐店)",473,39.712,116.783,139,139,60,2.1,8.3,27.3,9.1,43,13,,4.6
28,2021-01-18 23:00:00,+08:00,"Yufazhen, Daxing, Beijing (京南榆垡)",474,39.52,116.3,-,93,52,1.6,9.6,15.1,4.6,78.5,-8.5,,1.5
29,2021-01-18 23:00:00,+08:00,"Liulihezhen, Fangshan, Beijing (京西南琉璃河)",475,39.58,116.0,-,74,74,1.6,8.7,13.9,2.8,78.5,-8.5,,1.5
30,2021-01-18 23:00:00,+08:00,"Qianmen E St, Dongcheng, Beijing (前门东大街)",476,39.899,116.395,-,85,48,1.1,8.7,18.3,3.7,78.5,-8.5,,1.5
31,2021-01-18 23:00:00,+08:00,"Yongdingmen Inner St, Beijing (永定门内大街)",477,39.876,116.394,-,65,51,1.1,7.4,11,2.8,78.5,-8.5,,1.5
32,2021-01-18 23:00:00,+08:00,"Xizhimen N St, Beijing (西直门北大街)",478,39.954,116.349,-,91,47,1.6,4.2,16.7,2.8,78.5,-8.5,,1.5
33,2021-01-18 23:00:00,+08:00,"South Ring Road, Beijing (南三环西路)",479,39.856,116.368,-,80,63,0.6,15.1,11.8,4.6,78.5,-8.5,,1.5
34,2021-01-18 23:00:00,+08:00,"East Fourth Ring Road, Beijing (东四环北路)",480,39.939,116.483,-,87,64,1.6,14.7,11.4,4.6,78.5,-8.5,,1.5
35,2022-03-16 15:00:00,+08:00,"Beijing US Embassy, Beijing (北京美国大使馆)",3303,39.954592,116.468117,119,119,84,2.1,7.8,33.3,5.5,43,13,,4.6
36,2022-03-16 15:00:00,+08:00,"丰台小屯, Beijing",13327,39.87694,116.25528,122,122,69,1.6,6.9,32.1,5.5,43,13,,4.6
37,2022-03-16 15:00:00,+08:00,"密云新城, Beijing",13329,40.4088,116.85152,63,63,51,0.6,3.7,30.1,3.7,43,13,,4.6
38,2022-03-16 15:00:00,+08:00,"平谷新城, Beijing",13330,40.15353,117.0854,153,153,97,3.1,11.9,26.4,9.1,43,13,,4.6
39,2022-03-16 15:00:00,+08:00,"昌平南邵, Beijing",13334,40.21651,116.27603,132,132,72,1.1,7.8,33.3,5.5,43,13,,4.6
40,2022-03-16 15:00:00,+08:00,"海淀四季青, Beijing",13335,40.03,116.23052,129,129,62,1.1,6.9,30.5,5.5,43,13,,4.6
41,2022-03-16 14:00:00,+08:00,"石景山老山, Beijing",13336,39.90886,116.20764,107,107,62,1.6,6.9,32.1,4.6,43,13,,4.6
42,2022-03-16 15:00:00,+08:00,"Putuo Monitoring Station, Shanghai (普陀监测站)",481,31.234814,121.410728,78,78,36,2.6,9.2,76.7,10,39.2,29,,0.3
43,2022-03-16 15:00:00,+08:00,"yángpǔ sì piào, Shanghai (杨浦四漂)",482,31.2659,121.536,89,89,40,3.6,8.3,68.2,5.5,55,27.7,,0.3
44,2022-03-16 15:00:00,+08:00,"lúwān shī zhuān fùxiǎo, Shanghai (上海师范专科学校附属小学)",483,31.20101399999999,121.483231,85,85,31,2.6,10.1,66.2,6.5,39.2,29,,0.3
45,2021-03-14 16:00:00,+08:00,"Qingpu Dianshan Lake, Shanghai (青浦淀山湖)",484,31.0935,120.978,-,119,42,2.6,19.2,15.5,4.9,56.5,15.5,,5.1
46,2022-03-16 15:00:00,+08:00,"Hongkou Liangcheng, Shanghai (虹口凉城)",485,31.3008,121.467,97,97,40,3.1,9.6,74.7,7.7,39.2,29,,0.3
47,2022-03-16 15:00:00,+08:00,"Jing'an Monitoring Station, Shanghai (静安监测站)",486,31.2261,121.425,89,89,46,2.6,11,66.9,5.5,39.2,29,,0.3
48,2022-03-16 15:00:00,+08:00,"xúhuì shàng shī dà, Shanghai (徐汇上师大)",487,31.1654,121.412,72,72,42,12.2,9.2,63.6,9.1,40,28.6,,0.4
49,2022-03-16 15:00:00,+08:00,"pǔdōng chuān shā, Shanghai (浦东川沙)",488,31.1907,121.703,82,82,60,3.1,31.1,32.1,5.5,66,23.5,,4.6
50,2022-03-16 12:00:00,+08:00,"pǔdōng zhāngjiāng, Shanghai (浦东张江)",489,31.2071,121.577,107,107,51,3.1,14.7,60.4,8.2,54.6,27.9,,0.3
51,2022-03-16 15:00:00,+08:00,"Pudong Monitoring Station, Shanghai (浦东监测站)",490,31.2284,121.533,85,85,46,2.6,7.8,73.4,5.5,55.2,27.6,,0.3
52,2020-04-30 18:00:00,+08:00,"City average, Shanghai (全市平均)",491,31.230393,121.473704,109,109,67,6.1,19.2,80.6,6,59,25.5,,0.2
53,2022-03-16 15:00:00,+08:00,"Pudong Zhoupu, Shanghai (浦东周浦)",10185,31.114301,121.574951,72,72,30,1.1,12.4,67.5,3.6,55,27.7,,0.3
54,2022-03-16 15:00:00,+08:00,"Pudong Huinan, Shanghai (浦东惠南)",10186,31.04808,121.749495,82,82,51,3.1,14.7,48,5.6,66,23.5,,4.6
55,2022-03-16 15:00:00,+08:00,"People's Square, Shanghai (人民广场)",10187,31.22967,121.47616,80,80,41,2.1,6,71.4,6.9,39.2,29,,0.3
56,2022-03-16 15:00:00,+08:00,"Huangpu Ruijin, Shanghai (黄浦瑞金)",10188,31.213834,121.462917,82,82,36,2.1,8.3,65.6,5.9,39.7,28.8,,0.4
57,2022-03-16 15:00:00,+08:00,"Jing'an Qiyi Middle School, Shanghai (静安七一中学)",10189,31.231002,121.452066,85,85,36,2.1,7.4,66.9,5.3,40,28.6,,0.4
58,2022-03-16 15:00:00,+08:00,"Jing'an Hetian Middle School, Shanghai (静安和田中学)",10190,31.274911,121.454927,93,93,34,2.1,7.8,63,5.6,39.7,28.8,,0.4
59,2022-03-16 15:00:00,+08:00,"Jing'an North High-tech, Shanghai (静安市北高新)",10191,31.295743,121.436946,95,95,41,2.1,9.2,80.6,6.3,39.7,28.8,,0.4
60,2022-03-16 15:00:00,+08:00,"Xujiahui, Shanghai (徐家汇)",10192,31.194503,121.437516,107,107,35,1.6,11,43.1,4.5,39.2,29,,0.3
61,2022-03-16 15:00:00,+08:00,"Changning Xianxia, Shanghai (长宁仙霞)",10193,31.2060391,121.3892098,78,78,43,8.7,12.4,65.6,6.4,39.7,28.8,,0.4
62,2022-03-16 15:00:00,+08:00,"Changning Chengqiao, Shanghai (长宁程桥)",10194,31.1891105,121.3726724,85,85,30,9.2,8.7,63.6,5.8,45,28,,4.6
63,2022-03-16 15:00:00,+08:00,"Changning Huayang, Shanghai (长宁华阳)",10195,31.216258,121.423952,70,70,35,2.1,16,30.1,7,40,28.6,,0.4
64,2022-03-16 15:00:00,+08:00,"Putuo Taopu, Shanghai (普陀桃浦)",10196,31.278981,121.363483,95,95,40,6.1,8.3,72.7,4.9,39.2,29,,0.3
65,2021-07-02 18:00:00,+08:00,"Hongkou Jiaxing, Shanghai (虹口嘉兴)",10197,31.257187,121.49131,-,68,25,3.1,15.1,16.7,6.5,95,25,,0.3
66,2022-03-16 15:00:00,+08:00,"Yangpu Monitoring Station, Shanghai (杨浦监测站)",10198,31.281478,121.54201,87,87,42,2.6,11,71.4,4.2,55,27.7,,0.3
67,2022-03-16 14:00:00,+08:00,"Yangpu New Jiangwan City, Shanghai (杨浦新江湾城)",10199,31.329075,121.522236,107,107,47,3.6,24.3,91.6,7.1,55.2,27.6,,0.3
68,2022-03-16 15:00:00,+08:00,"Baoshan Yangxing, Shanghai (宝山杨行)",10200,31.364479,121.438297,122,122,61,6.1,38.4,29.7,4.3,39.4,28.9,,0.4
69,2022-03-16 15:00:00,+08:00,"Baoshan Luodian, Shanghai (宝山罗店)",10201,31.415251,121.346638,134,134,72,4.6,39.8,25.2,5.6,39.2,29,,0.3
70,2022-03-16 15:00:00,+08:00,"Baoshan Temple Line, Shanghai (宝山庙行)",10202,31.319788,121.449684,107,107,50,3.1,6.4,76.7,7.5,39.2,29.1,,0.2
71,2022-03-16 15:00:00,+08:00,"Minhang Jiangchuan, Shanghai (闵行江川)",10203,31.0066775,121.4074826,85,85,29,2.6,6.9,42.3,4.5,45,28,,4.6
72,2022-03-16 15:00:00,+08:00,"Minhang Pujiang, Shanghai (闵行浦江)",10204,31.075571,121.515504,66,63,35,2.1,5.1,65.6,7.3,55.2,27.6,,0.3
73,2022-03-16 15:00:00,+08:00,"Jiading Monitoring Station, Shanghai (嘉定监测站)",10205,31.375042,121.268689,107,107,50,5.1,16,66.2,7.1,45,28,,4.6
