,name,idx,url
0,Dongcheng Dongsi,446,http://aqicn.org/city/beijing/dongchengdongsi/
1,Temple of,447,http://aqicn.org/city/beijing/dongchengtiantan/
2,West Park,448,http://aqicn.org/city/beijing/xichengguanyuan/
3,Wanshou Temple,449,http://aqicn.org/city/beijing/xichengwanshouxigong/
4,Chaoyang Olympic,450,http://aqicn.org/city/beijing/chaoyangaotizhongxin/
5,Chaoyang Agricultural,451,http://aqicn.org/city/beijing/chaoyangnongzhanguan/
6,Haidian Wanliu,452,http://aqicn.org/city/beijing/haidianwanliu/
7,The Haidian,453,http://aqicn.org/city/beijing/haidianbeibuxinqu/
8,Haidian Beijing,454,http://aqicn.org/city/beijing/haidianbeijingzhiwuyuan/
9,Fengtai garden,455,http://aqicn.org/city/beijing/fengtaihuayuan/
10,Fengtai Yungang,456,http://aqicn.org/city/beijing/fengtaiyungang/
11,Shijingshan city,457,http://aqicn.org/city/beijing/shijingshangucheng/
12,Fangshan,458,http://aqicn.org/city/beijing/fangshanliangxiang/
13,Huangcunzhen,459,http://aqicn.org/city/beijing/daxinghuangcunzhen/
14,BDA,460,http://aqicn.org/city/beijing/yizhuangkaifaqu/
15,Tongzhou New,461,http://aqicn.org/city/beijing/tongzhouxincheng/
16,Shunyi New,462,http://aqicn.org/city/beijing/shunyixincheng/
17,Changping Town,463,http://aqicn.org/city/beijing/changpingzhen/
18,Mentougou,464,http://aqicn.org/city/beijing/mentougoulongquanzhen/
19,Pinggu town,465,http://aqicn.org/city/beijing/pingguzhen/
20,Huairou town,466,http://aqicn.org/city/beijing/huairouzhen/
21,The town,467,http://aqicn.org/city/beijing/miyunzhen/
22,Yanqing town,468,http://aqicn.org/city/beijing/yanqingzhen/
23,Changping Dingling,469,http://aqicn.org/city/beijing/changpingdingling/
24,Badaling Northwest,470,http://aqicn.org/city/beijing/jingxibeibadaling/
25,Miyun Reservoir,471,http://aqicn.org/city/beijing/jingdongbeimiyunshuiku/
26,Donggaocun Zhen,472,http://aqicn.org/city/beijing/jingdongdonggaocun/
27,Yongledianzhen,473,http://aqicn.org/city/beijing/jingdongnanyongledian/
28,Yufazhen,474,http://aqicn.org/city/beijing/jingnanyufa/
29,Liulihezhen,475,http://aqicn.org/city/beijing/jingxinanliulihe/
30,Qianmen E,476,http://aqicn.org/city/beijing/qianmendongdajie/
31,Yongdingmen Inner,477,http://aqicn.org/city/beijing/yongdingmennadajie/
32,Xizhimen N,478,http://aqicn.org/city/beijing/xizhimenbeidajie/
33,South Ring,479,http://aqicn.org/city/beijing/nansanhuanxilu/
34,East Fourth,480,http://aqicn.org/city/beijing/dongsihuanbeilu/
